OBJECTID,LOCNUM,SALESVOL,X,Y
528,404478063,30414,-94.47409999999994,37.08490000000009
529,483008900,37861,-121.7464,37.70120000000011
530,937385128,35495,-121.46259999999992,37.756900000000044
531,697900462,35495,-121.29869999999994,37.808500000000066
532,231225996,23663,-121.19679999999994,37.79500000000011
533,886549757,41411,-121.06229999999996,37.6913000000001
534,230021446,40228,-120.99589999999992,37.687500000000036
535,371838764,1183,-120.95269999999996,37.71330000000013
536,239572175,59158,-121.7388,37.96180000000003
537,402304013,35495,-121.37509999999999,38.05130000000004
538,697898765,35495,-121.41569999999997,38.42570000000012
539,708440706,35495,-121.31459999999998,37.99170000000006
540,402733261,33129,-121.30379999999995,38.115600000000065
541,576337273,946,-120.88089999999991,37.5198000000001
542,719665176,4732,-121.69959999999998,38.554100000000055
543,719665101,39281,-121.7247,38.67220000000005
544,719680878,35495,-121.53619999999995,38.54940000000012
545,230020497,59158,-121.4149999999999,38.45730000000001
546,403132276,35495,-121.42609999999995,38.54920000000018
547,404465238,56792,-121.49729999999995,38.56210000000005
548,719711541,35495,-121.4987,38.640800000000034
549,719711558,47327,-121.4014999999999,38.60040000000002
550,632381752,35495,-121.34909999999996,38.66180000000012
551,403565129,35495,-121.28459999999995,38.59530000000008
552,974424970,236,-121.27369999999993,38.67260000000004
553,997534375,61525,-121.15269999999998,38.671500000000016
